Ratio H/L normalized REP_A,Ratio H/L normalized REP_B,Ratio H/L normalized REP_C,Only identified by site,Reverse,Contaminant,Peptides,Sequence coverage [%],Mol. weight [kDa],PEP,Ratio H/L count REP_A,Ratio H/L count REP_B,Ratio H/L count REP_C,Intensity L REP_A,Intensity H REP_A,Intensity L REP_B,Intensity H REP_B,Intensity L REP_C,Intensity H REP_C,Mean,Median,Standard deviation,Coefficient of variation,Median absolute deviation,Minimum,Maximum,Range,Valid values,Protein IDs,Majority protein IDs,Protein names,Gene names,Proteins,Cysteinylation site IDs,Glutathionylation site IDs,Nitro site IDs,Oxidation (M) site IDs,Phospho (STY) site IDs,s-nitrosylation site IDs,GOBP Name,GOBP Name2,GOBP Name3,GOBP Name4,GOBP Name5,GOBP Name6,GOBP Name7,GOBP Name8,GOBP Name9,GOBP Name10,GOBP Name11,GOBP Name12,GOBP Name13,GOBP Name14,GOBP Name15,GOBP Name16,GOBP Name17,GOBP Name18,GOBP Name19,GOBP Name20,GOBP Name21,GOBP Name22,GOBP Name23,GOBP Name24,GOBP Name25,GOBP Name26,GOBP Name27,GOBP Name28,GOBP Name29,GOBP Name30,GOBP Name31,GOBP Name32,GOBP Name33,GOBP Name34,GOBP Name35,GOBP Name36,GOBP Name37,GOBP Name38,GOBP Name39,GOBP Name40,GOBP Name41,GOBP Name42,GOBP Name43,GOBP Name44,GOBP Name45,GOBP Name46,GOBP Name47,GOBP Name48,GOBP Name49,GOBP Name50,GOBP Name51,GOBP Name52,GOBP Name53,GOBP Name54,GOBP Name55,GOBP Name56,GOBP Name57,GOBP Name58,GOBP Name59,GOBP Name60,GOBP Name61,GOBP Name62,GOBP Name63,GOBP Name64,GOBP Name65,GOBP Name66,GOBP Name67,GOBP Name68,GOBP Name69,GOBP Name70,GOBP Name71,GOBP Name72,GOBP Name73,GOBP Name74,GOBP Name75,GOBP Name76,GOBP Name77,GOBP Name78,GOBP Name79,GOBP Name80,GOBP Name81,GOBP Name82
0.921055,-0.182344,-0.165807,,,,36,18.8,262.62,0,66,80,73,25097000,60574000,56116000,81617000,43589000,58456000,0.190968,-0.165807,0.632328,3.31117,0.0165375,-0.182344,0.921055,1.1034,3,P02751;P02751-3;E9PE77;P02751-8;P02751-14;P02751-9;F8W7G7;P02751-5;P02751-10;P02751-15;P02751-7;P02751-13;P02751-6;P02751-4;P02751-11;P02751-12;H0Y7Z1;E9PG29;P02751-2;H0Y4K8,P02751;P02751-3;E9PE77;P02751-8;P02751-14;P02751-9;F8W7G7;P02751-5;P02751-10;P02751-15;P02751-7;P02751-13;P02751-6;P02751-4;P02751-11;P02751-12,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,FN1,20,,,,153,,,acute inflammatory response,acute-phase response,anatomical structure formation involved in morphogenesis,anatomical structure morphogenesis,angiogenesis,biological adhesion,biological regulation,cell activation,cell adhesion,cell migration,cell morphogenesis,cell morphogenesis involved in differentiation,cell motility,cell-substrate adhesion,cellular component morphogenesis,cellular component movement,cellular component organization,cellular component organization or biogenesis,cellular developmental process,cellular macromolecule metabolic process,cellular metabolic process,cellular process,cellular protein metabolic process,defense response,developmental process,establishment of localization,establishment of localization in cell,exocytosis,immune system process,inflammatory response,leukocyte migration,locomotion,macromolecule metabolic process,macromolecule modification,metabolic process,peptide cross-linking,platelet activation,platelet degranulation,primary metabolic process,protein metabolic process,protein modification process,regulation of anatomical structure morphogenesis,regulation of biological process,regulation of biological quality,regulation of cell morphogenesis,regulation of cell shape,regulation of cellular component organization,regulation of cellular process,regulation of developmental process,response to stimulus,response to stress,response to wounding,secretion,secretion by cell,substrate adhesion-dependent cell spreading,transport,vesicle-mediated transport,,,,,,,,,,,,,,,,,,,,,,,,,
0.322736,0.0347792,0.211635,,,,19,37.7,59.67,3.79E-102,27,21,21,11893000,18239000,19946000,24837000,13660000,20612000,0.189717,0.211635,0.145224,0.765479,0.111101,0.0347792,0.322736,0.287957,3,P48643;E9PCA1;B7ZAR1;E7ENZ3;B4DYD8;D6RIZ7;H0Y914,P48643;E9PCA1;B7ZAR1;E7ENZ3;B4DYD8,T-complex protein 1 subunit epsilon,CCT5,7,,,,733,,,cellular macromolecule metabolic process,cellular metabolic process,cellular process,cellular protein metabolic process,'de novo' posttranslational protein folding,'de novo' protein folding,macromolecule metabolic process,metabolic process,multi-organism process,primary metabolic process,protein folding,protein metabolic process,response to biotic stimulus,response to other organism,response to stimulus,response to virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.364909,0.0277203,0.175684,,,,12,26.8,60.977,1.05E-121,17,11,14,9086600,13507000,11326000,14319000,9661600,14132000,0.189438,0.175684,0.169014,0.89219,0.147964,0.0277203,0.364909,0.337188,3,O43242;B4DT72;H0YGV8,O43242;B4DT72,26S proteasome non-ATPase regulatory subunit 3,PSMD3,3,,,,,,,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process,antigen processing and presentation,antigen processing and presentation of exogenous antigen,antigen processing and presentation of exogenous peptide antigen,antigen processing and presentation of exogenous peptide antigen via MHC class I,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",antigen processing and presentation of peptide antigen,antigen processing and presentation of peptide antigen via MHC class I,apoptosis,biological regulation,catabolic process,cell cycle phase,cell cycle process,cell death,cellular catabolic process,cellular macromolecule catabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular protein metabolic process,cellular response to stimulus,cellular response to stress,death,"DNA damage response, signal transduction by p53 class mediator","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",G1/S transition of mitotic cell cycle,gene expression,immune system process,intracellular signal transduction,M/G1 transition of mitotic cell cycle,macromolecule catabolic process,macromolecule metabolic process,macromolecule modification,metabolic process,modification-dependent macromolecule catabolic process,modification-dependent protein catabolic process,mRNA metabolic process,negative regulation of biological process,negative regulation of catalytic activity,negative regulation of cellular metabolic process,negative regulation of cellular process,negative regulation of cellular protein metabolic process,negative regulation of ligase activity,negative regulation of macromolecule metabolic process,negative regulation of metabolic process,negative regulation of molecular function,negative regulation of protein metabolic process,negative regulation of protein modification process,negative regulation of protein ubiquitination,negative regulation of ubiquitin-protein ligase activity,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,nitrogen compound metabolic process,nucleic acid metabolic process,nucleobase-containing compound metabolic proc,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0859685,0.202637,0.27739,,,,3,9.9,35.808,2.12E-07,2,3,2,194630,245990,591510,753740,271980,342080,0.188665,0.202637,0.0964724,0.511342,0.0747526,0.0859685,0.27739,0.191421,3,Q96DB5;B4DZW6;E7EVI2;E5RH53;H0YB83;H0YB03;H0YC67;H0YBD9;H0YC27,Q96DB5;B4DZW6;E7EVI2;E5RH53;H0YB83;H0YB03;H0YC67,Regulator of microtubule dynamics protein 1,FAM82B,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.391878,0.00388999,0.16954,,,,58,55.5,92.468,0,200,235,218,235860000,536650000,280420000,520600000,204650000,395580000,0.188436,0.16954,0.194683,1.03315,0.16565,0.00388999,0.391878,0.387988,3,P14625;Q58FF3;H0YIV0;F8W026;F8VPC7,P14625,Endoplasmin,HSP90B1,5,,,,498;499;500,,,actin cytoskeleton organization,actin filament organization,actin filament-based process,actin rod assembly,activation of signaling protein activity involved in unfolded protein response,anti-apoptosis,biological regulation,catabolic process,cellular catabolic process,cellular component assembly,cellular component assembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecule catabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular process,cellular protein metabolic process,cellular response to ATP,cellular response to chemical stimulus,cellular response to organic substance,cellular response to stimulus,cytoskeleton organization,defense response,ER-associated protein catabolic process,establishment of localization,establishment of protein localization,immune response,immune system process,innate immune response,macromolecule catabolic process,macromolecule metabolic process,maintenance of location,metabolic process,modification-dependent macromolecule catabolic process,modification-dependent protein catabolic process,negative regulation of apoptosis,negative regulation of biological process,negative regulation of cell death,negative regulation of cellular process,negative regulation of programmed cell death,organelle organization,positive regulation of catalytic activity,positive regulation of hydrolase activity,positive regulation of kinase activity,positive regulation of molecular function,positive regulation of nuclease activity,positive regulation of protein kinase activity,positive regulation of transferase activity,primary metabolic process,proteasomal protein catabolic process,proteasomal ubiquitin-dependent protein catabolic process,protein folding,protein metabolic process,protein transport,proteolysis,proteolysis involved in cellular protein catabolic process,regulation of apoptosis,regulation of biological process,regulation of biological quality,regulation of catalytic activity,regulation of cell death,regulation of cellular metabolic process,regulation of cellular process,regulation of cellular protein metabolic process,regulation of dep,,,,,,,,,,,,,,
0.168899,0.196607,0.194717,,,,21,43.9,79.994,1.54E-240,20,27,23,17521000,26496000,30875000,42360000,20740000,28022000,0.186741,0.194717,0.0154808,0.0828999,0.0018896,0.168899,0.196607,0.0277084,3,P17655;P17655-2;C9JWY7,P17655;P17655-2,Calpain-2 catalytic subunit,CAPN2,3,,,,,,,macromolecule metabolic process,metabolic process,primary metabolic process,protein metabolic process,proteolysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.121281,0.174279,0.263155,,,,13,16.6,109.68,5.45E-127,23,15,12,3795400,5939700,3905600,5824300,2953600,5136800,0.186238,0.174279,0.071689,0.384933,0.0529978,0.121281,0.263155,0.141874,3,P33176;C9JWB9,P33176,Kinesin-1 heavy chain,KIF5B,2,,,,,,,cellular component disassembly,cellular component disassembly at cellular level,cellular component movement,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular localization,cellular macromolecular complex disassembly,cellular macromolecular complex subunit organization,cellular process,cytoskeleton-dependent intracellular transport,establishment of localization,establishment of localization in cell,intracellular transport,localization,macromolecular complex disassembly,macromolecular complex subunit organization,microtubule-based movement,microtubule-based process,microtubule-based transport,organelle localization,organelle transport along microtubule,ribonucleoprotein complex disassembly,ribonucleoprotein complex subunit organization,stress granule disassembly,transport,vesicle localization,vesicle transport along microtubule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.228111,0.219463,0.111031,,,,18,29.2,78.806,1.07E-122,24,22,18,19365000,15105000,15865000,22173000,19235000,16681000,0.186202,0.219463,0.0652428,0.350388,0.0086479,0.111031,0.228111,0.117079,3,Q06210;Q06210-2;O94808;E5RJP4,Q06210;Q06210-2,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1,GFPT1,4,,,,,,,activation of signaling protein activity involved in unfolded protein response,alcohol biosynthetic process,alcohol metabolic process,amine metabolic process,amino sugar biosynthetic process,amino sugar metabolic process,biological regulation,biosynthetic process,carbohydrate biosynthetic process,carbohydrate metabolic process,carboxylic acid metabolic process,cellular amine metabolic process,cellular amino acid metabolic process,cellular biosynthetic process,cellular carbohydrate biosynthetic process,cellular carbohydrate metabolic process,cellular ketone metabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular protein metabolic process,dolichol-linked oligosaccharide biosynthetic process,energy derivation by oxidation of organic compounds,energy reserve metabolic process,fructose 6-phosphate metabolic process,fructose metabolic process,generation of precursor metabolites and energy,glucosamine biosynthetic process,glucosamine metabolic process,glutamine family amino acid metabolic process,glutamine metabolic process,glycosylation,hexose metabolic process,macromolecule glycosylation,macromolecule metabolic process,macromolecule modification,metabolic process,monosaccharide biosynthetic process,monosaccharide metabolic process,N-acetylglucosamine biosynthetic process,N-acetylglucosamine metabolic process,nitrogen compound metabolic process,nucleobase-containing compound metabolic process,nucleotide-sugar metabolic process,oligosaccharide biosynthetic process,oligosaccharide metabolic process,organic acid metabolic process,oxidation-reduction process,oxoacid metabolic process,peptidyl-amino acid modification,peptidyl-asparagine modification,positive regulation of catalytic activity,positive regulation of hydrolase activity,positive regulation of kinase activity,positive regulation of molecular function,positive regulation of nuclease activity,positive regulation of protein kinase activity,positive regulation of transferase activity,post-translational protein modification,primary metabolic process,protein glycosylation,protein metabolic process,protein modification process,protein N-linked glycosylation,protein N-linked glycosylation via asparagine,regulation of biolo,,,,,,,,,,,,,,,
0.223299,0.201759,0.132116,,,,8,42.1,21.671,6.82E-92,9,12,16,8375400,11033000,13979000,17732000,8161300,10660000,0.185725,0.201759,0.0476592,0.256612,0.0215397,0.132116,0.223299,0.0911827,3,O00264;B7Z1L3,O00264;B7Z1L3,Membrane-associated progesterone receptor component 1,PGRMC1,2,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.156655,0.234747,0.161565,,,,8,33.3,35.575,1.19E-103,7,10,7,7948800,11242000,10828000,13514000,6730600,8687400,0.184322,0.161565,0.0437375,0.237288,0.00490981,0.156655,0.234747,0.0780911,3,P62714;P67775;P67775-2;E7ESG8;H0YC23;H0YBN9;E5RHC1;E5RHP4;E5RFI3;E5RJX4,P62714;P67775;P67775-2,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform;Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CB;PPP2CA,10,,,,,,,biological regulation,catabolic process,cell cycle phase,cell cycle process,cell surface receptor linked signaling pathway,cellular catabolic process,cellular lipid metabolic process,cellular macromolecule catabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular protein metabolic process,cellular response to chemical stimulus,cellular response to fibroblast growth factor stimulus,cellular response to growth factor stimulus,cellular response to organic substance,cellular response to stimulus,ceramide metabolic process,dephosphorylation,enzyme linked receptor protein signaling pathway,fibroblast growth factor receptor signaling pathway,inactivation of MAPK activity,induction of apoptosis,induction of programmed cell death,intracellular signal transduction,lipid metabolic process,macromolecule catabolic process,macromolecule metabolic process,macromolecule modification,meiosis,membrane lipid metabolic process,metabolic process,mRNA catabolic process,mRNA metabolic process,negative regulation of biological process,negative regulation of catalytic activity,negative regulation of cell communication,negative regulation of cell development,negative regulation of cell differentiation,negative regulation of cell growth,negative regulation of cell morphogenesis involved in differentiation,negative regulation of cellular component organization,negative regulation of cellular metabolic process,negative regulation of cellular process,negative regulation of cellular protein metabolic process,negative regulation of developmental process,negative regulation of epithelial to mesenchymal transition,negative regulation of growth,negative regulation of intracellular protein kinase cascade,negative regulation of JAK-STAT cascade,negative regulation of kinase activity,negative regulation of macromolecule metabolic process,negative regulation of MAP kinase activity,negative regulation of metabolic process,negative regulation of molecular function,negative regulation of peptidyl-tyrosine phosphorylation,negative regulation of phosphate metabolic process,negative regulation of phosphorus metabolic process,negative regulation of phosphorylation,negative regulation of protein kinase activity,n,,,,,,,,,,,,,,,,,,,,
0.321697,0.0335111,0.195726,,,,5,4.6,117.97,2.16E-10,3,2,4,646680,806260,646190,715260,681820,919490,0.183645,0.195726,0.144472,0.786696,0.125972,0.0335111,0.321697,0.288186,3,A0AVT1;A0AVT1-2;A0AVT1-3;A0AVT1-4;H0Y8S8,A0AVT1,Ubiquitin-like modifier-activating enzyme 6,UBA6,5,,,,,,,catabolic process,cellular catabolic process,cellular macromolecule catabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular process,cellular protein metabolic process,macromolecule catabolic process,macromolecule metabolic process,macromolecule modification,metabolic process,modification-dependent macromolecule catabolic process,modification-dependent protein catabolic process,primary metabolic process,protein metabolic process,protein modification by small protein conjugation,protein modification by small protein conjugation or removal,protein modification process,protein ubiquitination,proteolysis,proteolysis involved in cellular protein catabolic process,ubiquitin-dependent protein catabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.457016,0.087327,0.0057592,,,,13,20.7,88.414,1.51E-260,44,38,32,21558000,41907000,33945000,47339000,21287000,31485000,0.183368,0.087327,0.240471,1.31141,0.0815678,0.0057592,0.457016,0.451257,3,P05556;P05556-3;P05556-4;P05556-5;P05556-2;E7EQW5;E7EUI6;E9PLR6;Q5T3E6;H7C4N8;C9JPK5;E7ERX5,P05556;P05556-3;P05556-4;P05556-5;P05556-2,Integrin beta-1,ITGB1,12,,,,335,,,axon guidance,B cell activation,B cell differentiation,biological adhesion,biological regulation,blood coagulation,calcium-independent cell-matrix adhesion,cell activation,cell adhesion,cell adhesion mediated by integrin,cell differentiation,cell migration,cell motility,cell surface receptor linked signaling pathway,cell-cell adhesion,cell-cell adhesion mediated by integrin,cell-matrix adhesion,cell-substrate adhesion,cellular component movement,cellular defense response,cellular developmental process,cellular process,cellular response to stimulus,chemotaxis,coagulation,defense response,developmental process,hemostasis,homophilic cell adhesion,immune system process,integrin-mediated signaling pathway,interspecies interaction between organisms,leukocyte activation,leukocyte cell-cell adhesion,leukocyte differentiation,leukocyte migration,locomotion,lymphocyte activation,lymphocyte differentiation,multicellular organismal development,multicellular organismal process,multi-organism process,positive regulation of apoptosis,positive regulation of biological process,positive regulation of cell death,positive regulation of cellular process,positive regulation of programmed cell death,regulation of apoptosis,regulation of biological process,regulation of biological quality,regulation of body fluid levels,regulation of cell death,regulation of cellular process,regulation of immune response,regulation of immune system process,regulation of programmed cell death,regulation of response to stimulus,response to chemical stimulus,response to external stimulus,response to stimulus,response to stress,signal transduction,taxis,,,,,,,,,,,,,,,,,,,
0.19862,0.275245,0.0758749,,,,9,8.1,145.18,2.27E-23,11,13,8,2920500,3708500,4189400,5428300,2207900,2313300,0.183247,0.19862,0.10057,0.548825,0.0766255,0.0758749,0.275245,0.199371,3,Q7L576;E7EW33;Q7L576-2;H7C229;Q7L576-3;H0YL50;H0YL39;H0YLJ5,Q7L576,Cytoplasmic FMR1-interacting protein 1,CYFIP1,8,,,,,,,axon extension,biological regulation,cell growth,cell projection assembly,cell projection organization,cellular component assembly,cellular component assembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular process,developmental cell growth,developmental growth,developmental growth involved in morphogenesis,developmental process,growth,lamellipodium assembly,regulation of anatomical structure morphogenesis,regulation of biological process,regulation of biological quality,regulation of cell morphogenesis,regulation of cell shape,regulation of cellular component organization,regulation of cellular process,regulation of developmental process,ruffle organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.287827,0.105678,0.153676,,,,14,47.1,37.186,3.42E-246,4,6,6,2597700,3671500,5689300,7008900,4949300,5829200,0.182394,0.153676,0.0944092,0.517612,0.0479977,0.105678,0.287827,0.182149,3,P62140;E7ETD8;C9JP48;C9J9S3,P62140;E7ETD8;C9JP48;C9J9S3,Serine/threonine-protein phosphatase PP1-beta catalytic subunit;Serine/threonine-protein phosphatase,PPP1CB,4,,,,808,,,acylglycerol catabolic process,acylglycerol metabolic process,biological regulation,carbohydrate metabolic process,catabolic process,cell cycle,cell division,cellular carbohydrate metabolic process,cellular catabolic process,cellular glucan metabolic process,cellular lipid catabolic process,cellular lipid metabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular polysaccharide metabolic process,cellular process,energy derivation by oxidation of organic compounds,energy reserve metabolic process,generation of precursor metabolites and energy,glucan metabolic process,glycerol ether catabolic process,glycerol ether metabolic process,glycerolipid catabolic process,glycerolipid metabolic process,glycogen metabolic process,lipid catabolic process,lipid metabolic process,macromolecule metabolic process,metabolic process,neutral lipid catabolic process,neutral lipid metabolic process,organic ether metabolic process,oxidation-reduction process,polysaccharide metabolic process,primary metabolic process,regulation of biological process,regulation of cell adhesion,regulation of cellular process,small molecule metabolic process,triglyceride catabolic process,triglyceride metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.267716,0.215119,0.0639171,,,,33,61,68.569,0,51,69,67,53450000,88953000,97156000,135780000,62986000,94123000,0.182251,0.215119,0.1058,0.580521,0.0525961,0.0639171,0.267716,0.203798,3,P04843;B7Z4L4;F8WF32,P04843;B7Z4L4,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,3,,,,328,,,biosynthetic process,carbohydrate metabolic process,cellular biosynthetic process,cellular carbohydrate metabolic process,cellular macromolecule biosynthetic process,cellular macromolecule metabolic process,cellular metabolic process,cellular process,cellular protein metabolic process,cotranslational protein targeting to membrane,establishment of localization,establishment of localization in cell,establishment of protein localization,establishment of protein localization in endoplasmic reticulum,establishment of protein localization to organelle,glycosylation,intracellular protein transport,intracellular transport,macromolecule biosynthetic process,macromolecule glycosylation,macromolecule metabolic process,macromolecule modification,metabolic process,peptidyl-amino acid modification,peptidyl-asparagine modification,post-translational protein modification,primary metabolic process,protein glycosylation,protein metabolic process,protein modification process,protein N-linked glycosylation,protein N-linked glycosylation via asparagine,protein targeting,protein targeting to ER,protein targeting to membrane,protein transport,SRP-dependent cotranslational protein targeting to membrane,translation,transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0912597,0.154065,0.299362,,,,5,20.3,33.712,1.63E-15,2,4,5,659450,676320,1528900,2138400,1364300,3268000,0.181562,0.154065,0.106741,0.587905,0.0628049,0.0912597,0.299362,0.208102,3,Q14232;J3KMX9;B4DGX0;F5H0D0;H0YGG4,Q14232;J3KMX9;B4DGX0;F5H0D0,Translation initiation factor eIF-2B subunit alpha,EIF2B1,5,,,154,,,,anatomical structure development,biological regulation,cell development,cellular developmental process,cellular metabolic process,cellular process,cellular response to stimulus,developmental process,glial cell development,metabolic process,oligodendrocyte development,posttranscriptional regulation of gene expression,regulation of biological process,regulation of biosynthetic process,regulation of cellular biosynthetic process,regulation of cellular macromolecule biosynthetic process,regulation of cellular metabolic process,regulation of cellular process,regulation of cellular protein metabolic process,regulation of gene expression,regulation of macromolecule biosynthetic process,regulation of macromolecule metabolic process,regulation of metabolic process,regulation of primary metabolic process,regulation of protein metabolic process,regulation of translation,regulation of translational initiation,response to abiotic stimulus,response to carbohydrate stimulus,response to chemical stimulus,response to endogenous stimulus,response to glucose stimulus,response to heat,response to hexose stimulus,response to hormone stimulus,response to monosaccharide stimulus,response to organic substance,response to peptide hormone stimulus,response to stimulus,response to stress,response to temperature stimulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.169797,0.206768,0.165815,,,,8,48.1,26.411,3.39E-174,10,17,10,10430000,13671000,14409000,18271000,11334000,14187000,0.180793,0.169797,0.0225827,0.124909,0.00398132,0.165815,0.206768,0.0409527,3,P28066;B4E2V4,P28066;B4E2V4,Proteasome subunit alpha type-5,PSMA5,2,,,,618,,,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process,antigen processing and presentation,antigen processing and presentation of exogenous antigen,antigen processing and presentation of exogenous peptide antigen,antigen processing and presentation of exogenous peptide antigen via MHC class I,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",antigen processing and presentation of peptide antigen,antigen processing and presentation of peptide antigen via MHC class I,apoptosis,biological regulation,catabolic process,cell cycle phase,cell cycle process,cell death,cellular catabolic process,cellular macromolecule catabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular protein metabolic process,cellular response to stimulus,cellular response to stress,death,"DNA damage response, signal transduction by p53 class mediator","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",G1/S transition of mitotic cell cycle,gene expression,immune system process,intracellular signal transduction,M/G1 transition of mitotic cell cycle,macromolecule catabolic process,macromolecule metabolic process,macromolecule modification,metabolic process,modification-dependent macromolecule catabolic process,modification-dependent protein catabolic process,mRNA metabolic process,negative regulation of biological process,negative regulation of catalytic activity,negative regulation of cellular metabolic process,negative regulation of cellular process,negative regulation of cellular protein metabolic process,negative regulation of ligase activity,negative regulation of macromolecule metabolic process,negative regulation of metabolic process,negative regulation of molecular function,negative regulation of protein metabolic process,negative regulation of protein modification process,negative regulation of protein ubiquitination,negative regulation of ubiquitin-protein ligase activity,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,nitrogen compound metabolic process,nucleic acid metabolic process,nucleobase-containing compound metabolic proc,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.191942,0.281669,0.068602,,,,3,18.7,23.85,2.52E-12,3,3,4,1087400,1096900,718770,938470,1162500,1438200,0.180737,0.191942,0.106974,0.591877,0.089727,0.068602,0.281669,0.213067,3,Q9NZD2;F5H0U5;H0YFS9;F5GZ49,Q9NZD2;F5H0U5;H0YFS9,Glycolipid transfer protein,GLTP,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.444879,0.234256,-0.138251,,,,6,28.4,26.152,6.07E-98,17,28,21,13870000,21799000,17309000,28369000,15617000,23477000,0.180295,0.234256,0.295286,1.6378,0.210623,-0.138251,0.444879,0.58313,3,P17931;G3V3R6,P17931;G3V3R6,Galectin-3,LGALS3,2,,,,,,,cell differentiation,cellular developmental process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,defense response,developmental process,immune response,immune system process,innate immune response,macromolecule metabolic process,metabolic process,mRNA metabolic process,mRNA processing,nitrogen compound metabolic process,nucleic acid metabolic process,nucleobase-containing compound metabolic process,primary metabolic process,response to stimulus,response to stress,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0439044,0.29537,0.200504,,,,8,7.8,129.52,3.29E-28,9,7,8,1210400,1820700,1351200,2018300,1213100,1828500,0.179926,0.200504,0.12699,0.705787,0.0948661,0.0439044,0.29537,0.251466,3,Q9Y2A7-2;Q9Y2A7,Q9Y2A7-2;Q9Y2A7,Nck-associated protein 1,NCKAP1,2,,,,,,,anatomical structure development,apoptosis,cell death,cellular process,central nervous system development,death,developmental process,programmed cell death,system development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.403049,0.00719549,0.127633,+,,,2,4.7,63.09,0.0049746,3,4,3,619220,1446800,1390700,1897700,900490,1490000,0.179293,0.127633,0.20292,1.13178,0.120438,0.00719549,0.403049,0.395854,3,Q8IWA6,Q8IWA6,Coiled-coil domain-containing protein 60,CCDC60,1,,,,,183;184;185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
