Ratio H/L normalized REP_A,Ratio H/L normalized REP_B,Ratio H/L normalized REP_C,Only identified by site,Reverse,Contaminant,Peptides,Sequence coverage [%],Mol. weight [kDa],PEP,Ratio H/L count REP_A,Ratio H/L count REP_B,Ratio H/L count REP_C,Intensity L REP_A,Intensity H REP_A,Intensity L REP_B,Intensity H REP_B,Intensity L REP_C,Intensity H REP_C,Mean,Median,Standard deviation,Coefficient of variation,Median absolute deviation,Minimum,Maximum,Range,Valid values,Protein IDs,Majority protein IDs,Protein names,Gene names,Proteins,Cysteinylation site IDs,Glutathionylation site IDs,Nitro site IDs,Oxidation (M) site IDs,Phospho (STY) site IDs,s-nitrosylation site IDs,GOCC Name2,GOCC Name3,GOCC Name4,GOCC Name5,GOCC Name6,GOCC Name7,GOCC Name8,GOCC Name9,GOCC Name10,GOCC Name11,GOCC Name12,GOCC Name13,GOCC Name14,GOCC Name15,GOCC Name16,GOCC Name17,GOCC Name18,GOCC Name19,GOCC Name20,GOCC Name21,GOCC Name22,GOCC Name23,GOCC Name24,GOCC Name25,GOCC Name26,GOCC Name27,GOCC Name28,GOCC Name29,GOCC Name30,GOCC Name31,GOCC Name32,GOCC Name33,GOCC Name34,GOCC Name35,GOCC Name36,GOCC Name37,GOCC Name38,GOCC Name39,GOCC Name40,GOCC Name41,GOCC Name42,GOCC Name43,GOCC Name44,GOCC Name45,GOCC Name46,GOCC Name47,GOCC Name48,GOCC Name49,GOCC Name50,GOCC Name51,GOCC Name52,GOCC Name53
0.300182,0.505992,0.48388,,,,3,30.2,10.112,3.72E-08,3,3,3,903690,1405900,1117200,1564700,946000,1478300,0.430018,0.48388,0.112984,0.262741,0.0221123,0.300182,0.505992,0.20581,3,P49458;P49458-2;E9PE20,P49458,Signal recognition particle 9 kDa protein,SRP9,3,,,,,,,cell part,cytoplasmic part,cytosol,endoplasmic reticulum part,intracellular organelle part,intracellular part,macromolecular complex,membrane part,organelle part,protein complex,receptor complex,ribonucleoprotein complex,signal recognition particle,signal recognition particle receptor complex,"signal recognition particle, endoplasmic reticulum targeting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.130536,0.567545,0.590243,,,,2,3.6,53.354,0.00016775,2,2,2,679820,764280,599070,946030,592660,874550,0.429441,0.567545,0.259109,0.603362,0.0226973,0.130536,0.590243,0.459707,3,Q6NUK1;Q6NUK1-2,Q6NUK1;Q6NUK1-2,Calcium-binding mitochondrial carrier protein SCaMC-1,SLC25A24,2,,,,,,,cell part,cytoplasmic part,integral to membrane,intracellular organelle part,intracellular part,intrinsic to membrane,membrane,membrane part,mitochondrial inner membrane,mitochondrial membrane,mitochondrial part,organelle inner membrane,organelle membrane,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.358509,0.49211,0.436375,,,,4,17.4,28.466,1.59E-27,3,4,4,482800,740780,1335500,1980900,994740,1387500,0.428998,0.436375,0.0671052,0.156423,0.0557345,0.358509,0.49211,0.133601,3,Q9UFN0;Q9BS92;F2Z3L7,Q9UFN0,Protein NipSnap homolog 3A,NIPSNAP3A,3,,,,1016,,,cell part,cytoplasmic part,cytosol,intracellular part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.386259,0.512682,0.381837,,,,4,13.9,38.925,2.39E-44,3,4,4,4652800,5959100,3130200,5209600,5006300,6271600,0.426926,0.386259,0.0742997,0.174034,0.00442216,0.381837,0.512682,0.130845,3,O75477;B0QZ43,O75477;B0QZ43,Erlin-1,ERLIN1,2,,,,,,,cell part,cytoplasmic part,endoplasmic reticulum membrane,endoplasmic reticulum part,integral to membrane,intracellular organelle part,intracellular part,intrinsic to membrane,membrane,membrane part,organelle membrane,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.603217,0.409147,0.2587,,,,5,36.4,18.998,4.34E-52,8,7,8,16190000,16036000,9486700,15716000,26859000,20135000,0.423688,0.409147,0.172718,0.407654,0.150447,0.2587,0.603217,0.344517,3,P51571;A6NLM8;H7C1C6,P51571;A6NLM8;H7C1C6,Translocon-associated protein subunit delta,SSR4,3,,,,752,,,cell part,cytoplasmic part,endoplasmic reticulum,endoplasmic reticulum part,integral to membrane,intracellular membrane-bounded organelle,intracellular organelle,intracellular organelle part,intracellular part,intrinsic to membrane,macromolecular complex,membrane part,membrane-bounded organelle,organelle,organelle part,protein complex,Sec61 translocon complex,translocon complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.221197,0.776694,0.271784,,,,4,22,21.837,1.70E-14,4,2,4,1932600,902340,984110,1679700,2093500,2006000,0.423225,0.271784,0.307156,0.725752,0.0505877,0.221197,0.776694,0.555497,3,E5RFV2;Q16698;B7Z6B8;E5RJG7;E5RJD2;E5RID6,E5RFV2;Q16698;B7Z6B8;E5RJG7;E5RJD2;E5RID6,"2,4-dienoyl-CoA reductase, mitochondrial",DECR1,6,,,,,252,,cell part,cytoplasmic part,intracellular membrane-bounded organelle,intracellular organelle,intracellular organelle lumen,intracellular organelle part,intracellular part,membrane-bounded organelle,membrane-enclosed lumen,mitochondrial matrix,mitochondrial part,mitochondrion,nucleus,organelle,organelle lumen,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.224287,0.565792,0.476537,,,,13,50.8,33.402,1.01E-162,15,14,14,13319000,19310000,14048000,23186000,13107000,20684000,0.422206,0.476537,0.177117,0.419504,0.0892549,0.224287,0.565792,0.341505,3,J3KPX7;Q99623;F5GY37;Q99623-2;F5GWA7;F5H3X6;B4DW05;F5H0S4;F5H0C5;F5H2D2,J3KPX7;Q99623;F5GY37;Q99623-2;F5GWA7;F5H3X6;B4DW05,Prohibitin-2,PHB2,10,,,,,,,cell part,cytoplasmic part,intracellular membrane-bounded organelle,intracellular organelle,intracellular organelle part,intracellular part,membrane,membrane-bounded organelle,mitochondrial inner membrane,mitochondrial membrane,mitochondrial part,nucleus,organelle,organelle inner membrane,organelle membrane,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38084,0.465504,0.40414,,,,5,36.8,14.57,2.75E-77,5,4,4,3331900,4805900,2644300,3789800,3046600,4863400,0.416828,0.40414,0.043735,0.104923,0.0233,0.38084,0.465504,0.0846642,3,P37108;H0YLA2,P37108;H0YLA2,Signal recognition particle 14 kDa protein,SRP14,2,,,,,,,cell part,cytoplasmic part,cytosol,intracellular part,macromolecular complex,ribonucleoprotein complex,signal recognition particle,"signal recognition particle, endoplasmic reticulum targeting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.540622,0.310805,0.383055,,,,4,11.6,22.61,3.78E-39,3,3,2,2471300,4339000,2679500,4381500,2511600,4149200,0.411494,0.383055,0.117518,0.28559,0.0722492,0.310805,0.540622,0.229817,3,B4E2P2;Q9UNL2;C9JA28;C9J365,B4E2P2;Q9UNL2;C9JA28;C9J365,Translocon-associated protein subunit gamma,SSR3,4,,,,,,,cell part,cytoplasmic part,endoplasmic reticulum part,integral to endoplasmic reticulum membrane,integral to membrane,integral to organelle membrane,intracellular organelle part,intracellular part,intrinsic to endoplasmic reticulum membrane,intrinsic to membrane,intrinsic to organelle membrane,macromolecular complex,membrane part,organelle part,protein complex,Sec61 translocon complex,translocon complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.370164,0.474047,0.37951,,,,6,23.4,33.218,1.88E-13,6,5,6,1985600,2799300,1982900,3297700,2344400,2917700,0.407907,0.37951,0.0574689,0.140887,0.00934574,0.370164,0.474047,0.103882,3,H0Y368;Q5QPK2;O60762;E9PHH5;Q5QPJ9,H0Y368;Q5QPK2;O60762;E9PHH5;Q5QPJ9,Dolichol-phosphate mannosyltransferase,DPM1,5,,,,,,,cell part,cytoplasmic part,dolichol-phosphate-mannose synthase complex,endoplasmic reticulum membrane,endoplasmic reticulum part,intracellular organelle part,intracellular part,macromolecular complex,mannosyltransferase complex,membrane,membrane part,organelle membrane,organelle part,protein complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.507313,0.360758,0.352984,,,,4,12.3,40.513,5.55E-17,4,3,4,1663600,2321500,927400,1241200,2294700,2904800,0.407018,0.360758,0.0869444,0.213613,0.00777319,0.352984,0.507313,0.154328,3,Q9UBS4;H7C2Y5,Q9UBS4;H7C2Y5,DnaJ homolog subfamily B member 11,DNAJB11,2,,,,,,,cell part,cytoplasmic part,endoplasmic reticulum lumen,endoplasmic reticulum part,intracellular organelle lumen,intracellular organelle part,intracellular part,membrane-enclosed lumen,organelle lumen,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.460795,0.442439,0.313246,,,,2,9,26.076,3.12E-05,2,2,4,575630,902670,805400,1205000,604870,804950,0.405493,0.442439,0.0804142,0.198312,0.0183557,0.313246,0.460795,0.147549,3,Q14696,Q14696,LDLR chaperone MESD,MESDC2,1,,,,,,,cell part,cytoplasmic part,endoplasmic reticulum,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,membrane-bounded organelle,organelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.374733,0.412511,0.427177,,,,2,8,30.354,1.21E-08,2,2,2,466390,638980,407710,597660,474980,735590,0.404807,0.412511,0.0270572,0.0668397,0.0146665,0.374733,0.427177,0.0524436,3,P28062;P28062-2;B0UZC1;Q5JNW7,P28062;P28062-2;B0UZC1;Q5JNW7,Proteasome subunit beta type-8,PSMB8,4,,,,,,,cell part,cytoplasmic part,cytosol,intracellular organelle part,intracellular part,macromolecular complex,nuclear part,nucleoplasm,organelle part,proteasome core complex,protein complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.363227,0.432211,0.413486,,,,10,32.1,30.867,1.33E-126,15,20,11,26374000,41889000,40717000,59815000,30264000,43066000,0.402975,0.413486,0.035673,0.0885242,0.0187254,0.363227,0.432211,0.0689841,3,P15559;P15559-2;P15559-3;B4DLR8;H3BRK3;H3BNV2,P15559;P15559-2;P15559-3;B4DLR8;H3BRK3;H3BNV2,NAD(P)H dehydrogenase [quinone] 1,NQO1,6,,,,41,,,cell part,cytoplasmic part,cytosol,intracellular part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.500496,0.339935,0.357721,,,,4,18.2,30.394,4.33E-33,14,17,17,2016800,3585500,3171000,4858400,2733700,3944300,0.399384,0.357721,0.088016,0.220379,0.0177854,0.339935,0.500496,0.160561,3,O15260;Q5T8U7;Q5T8U5;O15260-2;B7Z6A4,O15260;Q5T8U7;Q5T8U5;O15260-2;B7Z6A4,Surfeit locus protein 4,SURF4,5,,,,240;241;242,,,cell part,cytoplasmic part,endoplasmic reticulum membrane,endoplasmic reticulum part,endoplasmic reticulum-Golgi intermediate compartment membrane,Golgi apparatus part,Golgi membrane,integral to membrane,intracellular organelle part,intracellular part,intrinsic to membrane,membrane,membrane part,organelle membrane,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.449007,0.276794,0.466027,,,,2,16.9,16.648,7.78E-25,2,2,2,796960,1181500,867810,1226700,902500,1359200,0.397276,0.449007,0.104686,0.263511,0.01702,0.276794,0.466027,0.189232,3,Q9UHV9,Q9UHV9,Prefoldin subunit 2,PFDN2,1,,,,,,,cell part,cytoplasmic part,cytosolic part,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,macromolecular complex,membrane-bounded organelle,mitochondrion,nucleus,organelle,prefoldin complex,protein complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.485015,0.316957,0.383718,,,,9,44.7,21.525,1.31E-78,18,19,20,14382000,21087000,19620000,24120000,12699000,18079000,0.39523,0.383718,0.0846183,0.214099,0.0667615,0.316957,0.485015,0.168058,3,Q5W0H4;P13693;J3KPG2;Q8TBK7;E9PJF7;H0YCX0;Q56UQ5;Q9HAU6,Q5W0H4;P13693;J3KPG2;Q8TBK7;E9PJF7,Translationally-controlled tumor protein,TPT1,8,,,,478;479,,,cell part,cytoplasmic part,endosome,extracellular region part,extracellular space,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,late endosome,membrane-bounded organelle,multivesicular body,organelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.521352,0.178237,0.465504,,,,3,7.7,51.871,2.50E-17,2,2,3,839640,1270600,1045000,1421300,1056000,1606300,0.388364,0.465504,0.184106,0.474055,0.0558479,0.178237,0.521352,0.343116,3,Q96JJ7;Q96JJ7-2;B4DIE3;H3BPB3,Q96JJ7;Q96JJ7-2,Protein disulfide-isomerase TMX3,TMX3,4,,,,,,,cell part,cytoplasmic part,endoplasmic reticulum membrane,endoplasmic reticulum part,integral to membrane,intracellular organelle part,intracellular part,intrinsic to membrane,membrane,membrane part,organelle membrane,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.426318,0.280838,0.45249,,,,4,20.3,25.943,4.56E-18,7,3,4,1245300,1822200,1371500,1798300,853110,1189800,0.386549,0.426318,0.092479,0.239243,0.0261716,0.280838,0.45249,0.171652,3,Q7Z7H5;Q7Z7H5-2;Q7Z7H5-3;F8W7F7,Q7Z7H5;Q7Z7H5-2;Q7Z7H5-3;F8W7F7,Transmembrane emp24 domain-containing protein 4,TMED4,4,,,,,,,cell part,cytoplasmic part,endoplasmic reticulum membrane,endoplasmic reticulum part,integral to membrane,intracellular organelle part,intracellular part,intrinsic to membrane,membrane,membrane part,organelle membrane,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0688772,0.55218,0.528071,,,,10,15,83.677,8.99E-40,8,6,5,2846500,4584000,3307700,6098800,1532700,2487200,0.383043,0.528071,0.272342,0.710997,0.0241091,0.0688772,0.55218,0.483303,3,Q16891;Q16891-2;B9A067;C9J406;Q16891-3;H7C463,Q16891;Q16891-2;B9A067;C9J406;Q16891-3;H7C463,Mitochondrial inner membrane protein,IMMT,6,,,,,,,cell part,cytoplasmic part,integral to membrane,integral to mitochondrial inner membrane,integral to mitochondrial membrane,integral to organelle membrane,intracellular organelle part,intracellular part,intrinsic to membrane,intrinsic to mitochondrial inner membrane,intrinsic to organelle membrane,membrane part,mitochondrial membrane part,mitochondrial part,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.31371,0.391438,0.438825,,,,3,3,166.57,2.79E-08,7,6,7,1462700,2309100,1810600,3079300,1677600,2655000,0.381324,0.391438,0.0631676,0.165653,0.0473873,0.31371,0.438825,0.125115,3,Q14152;F5H335,Q14152;F5H335,Eukaryotic translation initiation factor 3 subunit A,EIF3A,2,,,,,,,cell part,cytoplasmic part,cytosol,eukaryotic translation initiation factor 3 complex,intracellular non-membrane-bounded organelle,intracellular organelle,intracellular organelle part,intracellular part,macromolecular complex,non-membrane-bounded organelle,nuclear part,nucleolus,organelle,organelle part,protein complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.415434,0.376846,0.35061,,,,6,27.1,32.233,2.43E-107,9,6,6,3448000,5277700,4283400,5953000,3733200,5546600,0.380963,0.376846,0.0326074,0.085592,0.0262356,0.35061,0.415434,0.0648237,3,Q14165;F5H1S8;H0YG07;F5GX14,Q14165;F5H1S8;H0YG07,Malectin,MLEC,4,,,,,,,cell part,cytoplasmic part,endoplasmic reticulum membrane,endoplasmic reticulum part,integral to membrane,intracellular organelle part,intracellular part,intrinsic to membrane,membrane,membrane part,organelle membrane,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.481092,0.341416,0.314986,,,,11,55.8,18.898,4.39E-140,13,13,14,16352000,26462000,15634000,24446000,16484000,26761000,0.379165,0.341416,0.0892553,0.235399,0.02643,0.314986,0.481092,0.166106,3,P46783;F6U211;Q9NQ39,P46783;F6U211;Q9NQ39,40S ribosomal protein S10;Putative 40S ribosomal protein S10-like,RPS10;RPS10P5,3,,,,,,,cell part,cytoplasmic part,cytosolic small ribosomal subunit,intracellular non-membrane-bounded organelle,intracellular organelle,intracellular organelle part,intracellular part,macromolecular complex,non-membrane-bounded organelle,nuclear part,nucleolus,organelle,organelle part,ribonucleoprotein complex,ribosome,small ribosomal subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.414136,0.260869,0.459117,,,,3,14.3,25.946,7.45E-13,3,6,2,1379700,1985100,1011200,1466000,721350,1031500,0.37804,0.414136,0.103936,0.274934,0.0449812,0.260869,0.459117,0.198248,3,B3KY94;O14735;H3BTV1;H3BUR9,B3KY94;O14735;H3BTV1,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,CDIPT,4,,,,,,,cell part,cytoplasmic part,endoplasmic reticulum membrane,endoplasmic reticulum part,Golgi apparatus part,Golgi membrane,integral to membrane,intracellular organelle part,intracellular part,intrinsic to membrane,membrane,membrane part,organelle membrane,organelle part,plasma membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.256286,0.560324,0.290896,,,,5,39.2,17.259,7.43E-62,5,4,4,4420900,5001000,2357100,3654600,3839900,4793100,0.369169,0.290896,0.166447,0.45087,0.0346102,0.256286,0.560324,0.304038,3,Q04837;E7EUY5;C9K0U8,Q04837;E7EUY5;C9K0U8,"Single-stranded DNA-binding protein, mitochondrial",SSBP1,3,,,,,,,cell part,cytoplasmic part,intracellular membrane-bounded organelle,intracellular non-membrane-bounded organelle,intracellular organelle,intracellular organelle part,intracellular part,membrane-bounded organelle,mitochondrial nucleoid,mitochondrial part,mitochondrion,non-membrane-bounded organelle,nucleoid,organelle,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.177854,0.507414,0.419323,,,,11,44.4,31.54,4.55E-31,12,13,12,8431200,11732000,10776000,16786000,7734300,11975000,0.368197,0.419323,0.170625,0.463407,0.088091,0.177854,0.507414,0.32956,3,Q15404;Q15404-2;F2Z2H2,Q15404;Q15404-2;F2Z2H2,Ras suppressor protein 1,RSU1,3,,,,,,,cell part,cytoplasmic part,cytosol,intracellular part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10286,0.616828,0.376624,,,,4,13.2,38.091,7.87E-10,5,4,2,1813600,2144100,1526900,2074300,884080,1386200,0.365437,0.376624,0.257167,0.703724,0.240204,0.10286,0.616828,0.513969,3,P29279;P29279-2,P29279;P29279-2,Connective tissue growth factor,CTGF,2,,,,,,,cell part,cytoplasmic part,extracellular matrix,extracellular region part,Golgi apparatus,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,membrane,membrane-bounded organelle,organelle,plasma membrane,proteinaceous extracellular matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.283448,0.622743,0.18574,,,,3,6,30.815,2.61E-05,2,3,3,509420,653130,550060,860650,493780,617300,0.363977,0.283448,0.229361,0.630154,0.097708,0.18574,0.622743,0.437003,3,P0C7P4;P47985,P0C7P4;P47985,"Putative cytochrome b-c1 complex subunit Rieske-like protein 1;Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11",UQCRFS1P1;UQCRFS1,2,,,,,,,cell part,cytoplasmic part,integral to membrane,intracellular organelle part,intracellular part,intrinsic to membrane,macromolecular complex,membrane part,mitochondrial membrane part,mitochondrial part,mitochondrial respiratory chain complex III,organelle part,protein complex,respiratory chain complex III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.508429,0.289126,0.290306,,,,15,37.6,50.909,1.09E-159,14,14,14,13270000,20101000,15851000,20915000,13585000,18368000,0.36262,0.290306,0.126275,0.348229,0.00118026,0.289126,0.508429,0.219302,3,P48735;B4DFL2;B4DSZ6;H0YL11,P48735;B4DFL2;B4DSZ6,"Isocitrate dehydrogenase [NADP], mitochondrial;Isocitrate dehydrogenase [NADP]",IDH2,4,,,,,,,cell part,cytoplasmic part,intracellular organelle lumen,intracellular organelle part,intracellular part,membrane-enclosed lumen,mitochondrial matrix,mitochondrial part,organelle lumen,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.51783,0.384934,0.163241,,,,9,23.4,46.971,3.38E-38,9,10,12,5375400,8702100,10813000,10802000,4928400,6835700,0.355335,0.384934,0.179138,0.504138,0.132896,0.163241,0.51783,0.354589,3,Q9BS26,Q9BS26,Endoplasmic reticulum resident protein 44,ERP44,1,,,,,200,,cell part,cytoplasmic part,endoplasmic reticulum lumen,endoplasmic reticulum membrane,endoplasmic reticulum part,endoplasmic reticulum-Golgi intermediate compartment,intracellular membrane-bounded organelle,intracellular organelle,intracellular organelle lumen,intracellular organelle part,intracellular part,membrane,membrane part,membrane-bounded organelle,membrane-enclosed lumen,organelle,organelle lumen,organelle membrane,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.410233,0.288063,0.365021,,,,2,17.2,12.805,7.93E-24,2,2,2,1117000,1617400,1404100,1855000,1054600,1694000,0.354439,0.365021,0.0617683,0.174271,0.045212,0.288063,0.410233,0.122169,3,O95183,O95183,Vesicle-associated membrane protein 5,VAMP5,1,,,,,,,cell part,cytoplasmic part,endomembrane system,Golgi apparatus,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,membrane-bounded organelle,organelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.181166,0.52667,0.351515,,,,6,40.8,22.119,7.54E-46,7,17,9,5262700,6711100,5639600,8797700,5080700,7922300,0.353117,0.351515,0.172757,0.489235,0.170349,0.181166,0.52667,0.345504,3,P30043,P30043,Flavin reductase (NADPH),BLVRB,1,,,,630;631,,,cell part,cytoplasmic part,cytosol,intracellular part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.402395,0.460376,0.190172,,,,19,48.5,46.153,0,51,28,40,66816000,109560000,73756000,115260000,67243000,102720000,0.350981,0.402395,0.14225,0.405292,0.0579809,0.190172,0.460376,0.270203,3,P60842;P60842-2;J3KT12;J3KTB5;J3QS69;J3QL43;J3KSZ0;J3QR64;J3KS25;J3QLN6;J3QKZ9;J3KTN0;B4E102;J3KS93;J3KT04;E7EMV8;J3QQP0;F8WE11;E9PBH4;J3QL52,P60842;P60842-2;J3KT12;J3KTB5;J3QS69;J3QL43;J3KSZ0;J3QR64,Eukaryotic initiation factor 4A-I,EIF4A1,20,,,,777;778,,,cell part,cytoplasmic part,cytosol,eukaryotic translation initiation factor 4F complex,intracellular part,macromolecular complex,protein complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.457121,0.296076,0.299362,,,,10,59.7,22.171,5.71E-101,12,20,12,8700500,13135000,9222100,12723000,9478000,13858000,0.350853,0.299362,0.0920459,0.262349,0.0032863,0.296076,0.457121,0.161046,3,Q9H0U4;E9PLD0;Q92928,Q9H0U4;E9PLD0;Q92928,Ras-related protein Rab-1B;Putative Ras-related protein Rab-1C,RAB1B;RAB1C,3,,,,996;997;998;999,,,cell part,cytoplasmic part,Golgi apparatus,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,membrane,membrane-bounded organelle,organelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25544,0.466444,0.327917,,,,8,37.6,31.387,4.86E-29,6,5,6,3899700,5347800,2673700,4388700,3346300,4663400,0.349934,0.327917,0.107211,0.306375,0.072477,0.25544,0.466444,0.211004,3,P30084,P30084,"Enoyl-CoA hydratase, mitochondrial",ECHS1,1,,,,,,,cell part,cytoplasmic part,intracellular organelle lumen,intracellular organelle part,intracellular part,membrane-enclosed lumen,mitochondrial matrix,mitochondrial part,organelle lumen,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.145351,0.465191,0.436801,,,,10,31.2,32.866,1.09E-69,11,12,12,20015000,27854000,23209000,34968000,31137000,34420000,0.349115,0.436801,0.177034,0.507095,0.0283894,0.145351,0.465191,0.31984,3,P12236;I7HJJ0,P12236;I7HJJ0,ADP/ATP translocase 3,SLC25A6,2,,,,,,,cell part,cytoplasmic part,integral to membrane,intracellular organelle part,intracellular part,intrinsic to membrane,macromolecular complex,membrane part,mitochondrial inner membrane presequence translocase complex,mitochondrial membrane part,mitochondrial part,organelle part,protein complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.300299,0.485427,0.252779,,,,2,21.4,17.328,1.32E-07,3,3,3,918010,1100100,1009100,1486700,1094300,1317400,0.346168,0.300299,0.12292,0.355086,0.0475206,0.252779,0.485427,0.232648,3,Q99471;H3BPF6;Q99471-2,Q99471;H3BPF6;Q99471-2,Prefoldin subunit 5,PFDN5,3,,,,,,,cell part,cytoplasmic part,cytosolic part,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,macromolecular complex,membrane-bounded organelle,nucleus,organelle,prefoldin complex,protein complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.283803,0.391988,0.353888,,,,11,40.5,31.566,8.55E-129,19,16,15,21448000,28215000,24433000,35587000,20374000,28904000,0.343226,0.353888,0.0548745,0.159879,0.0380997,0.283803,0.391988,0.108184,3,P45880;P45880-1;P45880-2;B4DKM5;Q5JSD1;Q5JSD2;A2A3S1,P45880;P45880-1;P45880-2;B4DKM5;Q5JSD1;Q5JSD2,Voltage-dependent anion-selective channel protein 2,VDAC2,7,,,,,,,cell part,cytoplasmic part,intracellular non-membrane-bounded organelle,intracellular organelle,intracellular organelle part,intracellular part,macromolecular complex,membrane,membrane part,mitochondrial membrane,mitochondrial nucleoid,mitochondrial outer membrane,mitochondrial part,non-membrane-bounded organelle,nucleoid,organelle,organelle membrane,organelle outer membrane,organelle part,outer membrane,pore complex,protein complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.488206,0.446468,0.0908535,,,,3,4.6,83.308,1.06E-05,2,2,2,549400,843930,459500,803600,487330,749060,0.341843,0.446468,0.218363,0.638781,0.0417385,0.0908535,0.488206,0.397353,3,P48449;E9PEI9;P48449-2;C9J315;H7C3A5,P48449;E9PEI9;P48449-2,Lanosterol synthase,LSS,5,,,,,,,cell part,cytoplasmic part,endoplasmic reticulum membrane,endoplasmic reticulum part,intracellular organelle part,intracellular part,lipid particle,membrane,membrane part,organelle membrane,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.401958,0.113567,0.506196,,,,3,2.8,137.22,8.71E-15,3,2,3,336520,627170,377770,969510,478270,896170,0.340574,0.401958,0.203385,0.597183,0.104238,0.113567,0.506196,0.392629,3,Q92896-2;Q92896-3;Q92896;H3BM42,Q92896-2;Q92896-3;Q92896;H3BM42,Golgi apparatus protein 1,GLG1,4,,,,,,,cell part,cytoplasmic part,Golgi apparatus part,Golgi membrane,integral to membrane,intracellular organelle part,intracellular part,intrinsic to membrane,membrane,membrane part,organelle membrane,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
